0,Off,@Master/LLN0.Zero.mag.f
FFFFFFFE,Not Implemented Yet,@Master/LLN0.TBD.mag.f

B210,IEC61850 GOOSE Analog Input 1 ,@Master/GGIO3.AnIn01.mag.f
B212,IEC61850 GOOSE Analog Input 2 ,@Master/GGIO3.AnIn02.mag.f
B214,IEC61850 GOOSE Analog Input 3 ,@Master/GGIO3.AnIn03.mag.f
B216,IEC61850 GOOSE Analog Input 4 ,@Master/GGIO3.AnIn04.mag.f
B218,IEC61850 GOOSE Analog Input 5 ,@Master/GGIO3.AnIn05.mag.f
B21A,IEC61850 GOOSE Analog Input 6 ,@Master/GGIO3.AnIn06.mag.f
B21C,IEC61850 GOOSE Analog Input 7 ,@Master/GGIO3.AnIn07.mag.f
B21E,IEC61850 GOOSE Analog Input 8 ,@Master/GGIO3.AnIn08.mag.f
B220,IEC61850 GOOSE Analog Input 9 ,@Master/GGIO3.AnIn09.mag.f
B222,IEC61850 GOOSE Analog Input 10 ,@Master/GGIO3.AnIn10.mag.f
B224,IEC61850 GOOSE Analog Input 11 ,@Master/GGIO3.AnIn11.mag.f
B226,IEC61850 GOOSE Analog Input 12 ,@Master/GGIO3.AnIn12.mag.f
B228,IEC61850 GOOSE Analog Input 13 ,@Master/GGIO3.AnIn13.mag.f
B22A,IEC61850 GOOSE Analog Input 14 ,@Master/GGIO3.AnIn14.mag.f
B22C,IEC61850 GOOSE Analog Input 15 ,@Master/GGIO3.AnIn15.mag.f
B22E,IEC61850 GOOSE Analog Input 16 ,@Master/GGIO3.AnIn16.mag.f
B230,IEC61850 GOOSE Analog Input 17 ,@Master/GGIO3.AnIn17.mag.f
B232,IEC61850 GOOSE Analog Input 18 ,@Master/GGIO3.AnIn18.mag.f
B234,IEC61850 GOOSE Analog Input 19 ,@Master/GGIO3.AnIn19.mag.f
B236,IEC61850 GOOSE Analog Input 20 ,@Master/GGIO3.AnIn20.mag.f
B238,IEC61850 GOOSE Analog Input 21 ,@Master/GGIO3.AnIn21.mag.f
B23A,IEC61850 GOOSE Analog Input 22 ,@Master/GGIO3.AnIn22.mag.f
B23C,IEC61850 GOOSE Analog Input 23 ,@Master/GGIO3.AnIn23.mag.f
B23E,IEC61850 GOOSE Analog Input 24 ,@Master/GGIO3.AnIn24.mag.f
B240,IEC61850 GOOSE Analog Input 25 ,@Master/GGIO3.AnIn25.mag.f
B242,IEC61850 GOOSE Analog Input 26 ,@Master/GGIO3.AnIn26.mag.f
B244,IEC61850 GOOSE Analog Input 27 ,@Master/GGIO3.AnIn27.mag.f
B246,IEC61850 GOOSE Analog Input 28 ,@Master/GGIO3.AnIn28.mag.f
B248,IEC61850 GOOSE Analog Input 29 ,@Master/GGIO3.AnIn29.mag.f
B24A,IEC61850 GOOSE Analog Input 30 ,@Master/GGIO3.AnIn30.mag.f
B24C,IEC61850 GOOSE Analog Input 31 ,@Master/GGIO3.AnIn31.mag.f
B24E,IEC61850 GOOSE Analog Input 32 ,@Master/GGIO3.AnIn32.mag.f
B360,Watt Ground Fault 1 Operating Power,@Prot/WattPSDE1.Watt.instMag.f
B362,Watt Ground Fault 2 Operating Power,@Prot/WattPSDE2.Watt.instMag.f
B364,Watt Ground Fault 3 Operating Power,@Prot/WattPSDE3.Watt.instMag.f
B366,Watt Ground Fault 4 Operating Power,@Prot/WattPSDE4.Watt.instMag.f
B303,Wattmetric Gnd Flt 1 OV PKP,@Prot/WattPSDE1.VolMin.setMag.i
B304,Wattmetric Gnd Flt 2 OV PKP,@Prot/WattPSDE2.VolMin.setMag.i
B305,Wattmetric Gnd Flt 1 OC PKP,@Prot/WattPSDE2.AmpMin.setMag.i
16A0,RGF 1 Differential Ground Current Magnitude,@Prot/RgDifPDIF1.DifAClc.net.instCVal.mag.f
16A2,RGF 1 Restricted Ground Current Magnitude,@Prot/RgDifPDIF1.RstA.net.instCVal.mag.f
16A4,RGF 2 Differential Ground Current Magnitude,@Prot/RgDifPDIF2.DifAClc.net.instCVal.mag.f
16A6,RGF 2 Restricted Ground Current Magnitude,@Prot/RgDifPDIF2.RstA.net.instCVal.mag.f
16A8,RGF 3 Differential Ground Current Magnitude,@Prot/RgDifPDIF3.DifAClc.net.instCVal.mag.f
