0,Off,LLN0.Zero.mag.f
FFFFFFFE,Not Implemented Yet,LLN0.TBD.mag.f

B210,IEC61850 GOOSE Analog Input 1 ,GGIO3.AnIn01.mag.f
B212,IEC61850 GOOSE Analog Input 2 ,GGIO3.AnIn02.mag.f
B214,IEC61850 GOOSE Analog Input 3 ,GGIO3.AnIn03.mag.f
B216,IEC61850 GOOSE Analog Input 4 ,GGIO3.AnIn04.mag.f
B218,IEC61850 GOOSE Analog Input 5 ,GGIO3.AnIn05.mag.f
B21A,IEC61850 GOOSE Analog Input 6 ,GGIO3.AnIn06.mag.f
B21C,IEC61850 GOOSE Analog Input 7 ,GGIO3.AnIn07.mag.f
B21E,IEC61850 GOOSE Analog Input 8 ,GGIO3.AnIn08.mag.f
B220,IEC61850 GOOSE Analog Input 9 ,GGIO3.AnIn09.mag.f
B222,IEC61850 GOOSE Analog Input 10 ,GGIO3.AnIn10.mag.f
B224,IEC61850 GOOSE Analog Input 11 ,GGIO3.AnIn11.mag.f
B226,IEC61850 GOOSE Analog Input 12 ,GGIO3.AnIn12.mag.f
B228,IEC61850 GOOSE Analog Input 13 ,GGIO3.AnIn13.mag.f
B22A,IEC61850 GOOSE Analog Input 14 ,GGIO3.AnIn14.mag.f
B22C,IEC61850 GOOSE Analog Input 15 ,GGIO3.AnIn15.mag.f
B22E,IEC61850 GOOSE Analog Input 16 ,GGIO3.AnIn16.mag.f
B230,IEC61850 GOOSE Analog Input 17 ,GGIO3.AnIn17.mag.f
B232,IEC61850 GOOSE Analog Input 18 ,GGIO3.AnIn18.mag.f
B234,IEC61850 GOOSE Analog Input 19 ,GGIO3.AnIn19.mag.f
B236,IEC61850 GOOSE Analog Input 20 ,GGIO3.AnIn20.mag.f
B238,IEC61850 GOOSE Analog Input 21 ,GGIO3.AnIn21.mag.f
B23A,IEC61850 GOOSE Analog Input 22 ,GGIO3.AnIn22.mag.f
B23C,IEC61850 GOOSE Analog Input 23 ,GGIO3.AnIn23.mag.f
B23E,IEC61850 GOOSE Analog Input 24 ,GGIO3.AnIn24.mag.f
B240,IEC61850 GOOSE Analog Input 25 ,GGIO3.AnIn25.mag.f
B242,IEC61850 GOOSE Analog Input 26 ,GGIO3.AnIn26.mag.f
B244,IEC61850 GOOSE Analog Input 27 ,GGIO3.AnIn27.mag.f
B246,IEC61850 GOOSE Analog Input 28 ,GGIO3.AnIn28.mag.f
B248,IEC61850 GOOSE Analog Input 29 ,GGIO3.AnIn29.mag.f
B24A,IEC61850 GOOSE Analog Input 30 ,GGIO3.AnIn30.mag.f
B24C,IEC61850 GOOSE Analog Input 31 ,GGIO3.AnIn31.mag.f
B24E,IEC61850 GOOSE Analog Input 32 ,GGIO3.AnIn32.mag.f
B360,Watt Ground Fault 1 Operating Power,WattPSDE1.Watt.instMag.f
B362,Watt Ground Fault 2 Operating Power,WattPSDE2.Watt.instMag.f
